Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews,Discount Amount,Cluster,PC1,PC2
MEN'S ADIDAS RUNNING HELKIN 3.0 SHOES,CJ8118,4599,7.7406644019172415,50,Adidas CORE / NEO,2.2,54,2299.5,2,0.4099759930361772,-0.06213555841467372
Men's adidas Running Grito Shoes,CL7328,4799,7.783224016336037,50,Adidas CORE / NEO,3.5,79,2399.5,2,0.43547358609347103,0.14495146731228864
Men's adidas Running Nepton 2.0 Shoes,CL7470,5599,7.937374696163295,50,Adidas CORE / NEO,4.0,5,2799.5,1,0.13825462903097807,-0.5162710227265379
Men's adidas Running Bound Shoes,CL7541,4999,7.824046010856292,50,Adidas CORE / NEO,3.8,96,2499.5,2,0.47993469849269293,0.2981886404608883
Men's adidas Outdoor Terra Light Sandals,CL9928,3599,7.67786350067821,40,Adidas SPORT PERFORMANCE,2.4,41,1439.6000000000001,1,0.20828441707604833,-0.14322572130852562
Men's adidas Swim Gladi 19 Slippers,CM0045,1599,6.866933284461882,40,Adidas CORE / NEO,3.8,8,639.6,1,0.07616619475976427,-0.53724240558332
Men's adidas Running Torik Shoes,CL7599,4799,7.783224016336037,50,Adidas CORE / NEO,4.3,80,2399.5,2,0.40105112861896824,0.13902457639905125
Men's adidas Toe Side II Slippers,CM0069,1299,6.659293919683638,40,Adidas CORE / NEO,3.0,22,519.6,1,0.178761566452397,-0.41011778224244255
Men's adidas Sport Inspired Nebular 2 Shoes,CL7511,4999,7.824046010856292,50,Adidas CORE / NEO,4.0,94,2499.5,2,0.463263779636027,0.27631721806838
Men's adidas Running Kollide Shoes,CL7552,4799,7.783224016336037,50,Adidas CORE / NEO,4.8,68,2399.5,2,0.3342817730700666,0.020911399240272743
Men's adidas Sport Inspired Netpoint Shoes,EE9816,6599,8.101677747454572,50,Adidas CORE / NEO,4.4,3,3299.5,1,0.10397075923866544,-0.5199243331683923
Men's adidas Running Whizz Shoes,CL7545,5599,7.937374696163295,50,Adidas CORE / NEO,3.4,46,2799.5,1,0.31372767763715864,-0.13348364966147436
Women's adidas Originals Continental 80 Shoes,EE5060,8999,8.594154232552366,40,Adidas ORIGINALS,3.5,50,3599.6000000000004,2,0.14228907423180642,0.037830441729850395
Men's adidas Tennis Courtsmash Shoes,F36718,5599,8.11969625295725,40,Adidas CORE / NEO,3.0,75,2239.6,2,0.2768727355334784,0.20339761498936654
Men's adidas Outdoor Terra Light Sandals,CL9927,3599,7.67786350067821,40,Adidas SPORT PERFORMANCE,4.3,71,1439.6000000000001,2,0.22555509678837665,0.09303811420519975
Men's adidas Running Sedna Shoes,CL7285,4299,7.673223121121708,50,Adidas CORE / NEO,1.0,48,2149.5,1,0.4492845629880045,-0.10154771672438262
Men's adidas Running Nepton 2.0 Shoes,CL7471,5599,7.937374696163295,50,Adidas CORE / NEO,3.8,36,2799.5,1,0.25887836128905245,-0.23159902688435477
Men's adidas Running PureBounce+ Street Shoes,B96360,7999,8.294049640102028,50,Adidas SPORT PERFORMANCE,4.5,7,3999.5,1,0.1050489830594456,-0.45673459403231853
Women's adidas Originals Deerupt Runner Shoes,EE5778,8999,8.594154232552366,40,Adidas ORIGINALS,2.6,69,3599.6000000000004,2,0.25315400681142713,0.22687272989257729
Women's adidas Originals Sleek Super Shoes,EE4519,7999,8.476371196895983,40,Adidas ORIGINALS,4.4,71,3199.6000000000004,2,0.17940169402433565,0.1916989091362306
